Death	X coordinate	Y coordinate
1	13.6	11.1
1	9.9	12.6
1	14.7	10.2
1	15.2	10
1	13.2	13
1	13.8	8.9
1	13.1	10.6
1	11	11.9
1	15.2	11.7
1	11.1	9.6
1	11.7	13.6
1	12.3	11.5
1	10.6	11.9
1	14.6	10.6
1	16.6	14.3
1	9.5	10.7
1	13.3	10.7
1	15	10.2
1	15.1	10
1	10.9	9.8
1	12.5	12
1	11.8	11.8
1	12.2	10.4
1	13.9	12.8
1	12.3	11.9
1	11	11.9
1	11	9.8
1	13.5	13.3
1	10.8	11.7
1	12.2	13.6
1	13.9	14
1	12.5	11.6
1	15.7	12.7
1	12.9	9.9
1	13	10.2
1	13.7	11.4
1	13.1	11.1
1	13.4	11.1
1	14.8	9.4
1	13.2	13.2
1	9.8	12.5
1	12.5	12
1	13.4	10.2
1	14.4	11.6
1	16	14.2
1	10.9	12
1	12.5	13.4
1	15.8	12.4
1	16.5	14.3
1	11.2	8.6
1	15.8	12.2
1	11	9.8
1	11.7	13.6
1	11.5	12.3
1	11.8	15.1
1	13	13.9
1	14.1	13.1
1	14.8	10
1	12.6	11
1	14.6	12.9
1	12.5	11.2
1	14.5	8.7
1	9.2	10.8
1	17.9	7.2
1	11.2	14.7
1	9.5	10.7
1	10.8	9.9
1	16.1	14.1
1	10.4	10.6
1	13.7	9
1	15.8	13.9
1	12.2	11.8
1	11.5	10.7
1	15.4	11.2
1	15.9	12.2
1	10.2	11.9
1	14	12.8
1	16.5	11.4
1	17.5	11.2
1	13.8	8.9
1	14.1	10.6
1	14.7	11.5
1	12.6	13.4
1	11.7	10.4
1	14.4	12.6
1	15.2	17
1	15.8	13.9
1	13.9	12.7
1	15.2	11.6
1	13.2	12.9
1	12.7	11.3
1	15.1	13.2
1	12.8	11.6
1	13.6	13.2
1	14	13.1
1	15.4	13.3
1	14.8	14.9
1	10.3	11.4
1	10.5	11.6
1	9.9	12.3
1	14.2	9.2
1	13.6	12.5
1	15	9.8
1	15.7	12.4
1	9.2	12
1	16.8	11.4
1	13.3	10.3
1	10.6	11.6
1	8.3	7.2
1	13.4	13
1	14.5	8.7
1	16.8	11.4
1	14.7	11.9
1	10.3	11.4
1	13.2	11.2
1	9.1	13.2
1	15.2	10
1	8.4	7.4
1	15.3	9.8
1	13.3	12.4
1	13.2	9.7
1	12.6	11.5
1	13.9	11
1	13.5	12.5
1	15.2	17
1	11.6	11.1
1	9.4	10.8
1	11.4	9.6
1	11.2	14.8
1	11.9	10.2
1	15	10.2
1	13.6	11.5
1	14.1	13.6
1	10.5	11.2
1	10.3	9.5
1	13.8	12.7
1	13.4	12.4
1	12.6	11
1	15.7	13.9
1	13.8	8.9
1	13.2	12.3
1	15.1	10.1
1	13.2	10.5
1	14.6	11.4
1	14.4	10.3
1	15	14.1
1	13.1	10.6
1	13.4	8.8
1	11.8	9.5
1	16	14.4
1	10.6	10.9
1	14.6	10.6
1	9.3	12.2
1	14.5	11.5
1	10.5	12.3
1	14	12.8
1	10.6	11.6
1	10.6	11.7
1	15.7	6.1
1	11.8	11.2
1	11.8	10.3
1	11.6	11.1
1	15.8	14
1	10.7	11.7
1	13.4	13.3
1	11.2	11.5
1	15.5	12.8
1	14	10.7
1	13.4	12.5
1	14.6	16.2
1	15.3	13.4
1	14.5	8.8
1	11.4	9.9
1	12.5	11.2
1	13.8	11.2
1	10.6	11
1	10.5	11
1	14.8	10.8
1	14.2	12
1	13.3	12
1	10.4	11.8
1	12.5	10.6
1	15	12
1	10.6	9.9
1	13.1	11.1
1	10.1	11.5
1	11.2	11.4
